origin,destination,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05
_AF,NL-NH,41,61,61,52,72,91,104,109,94,107,124,89,103,94,83,25,28,32,57,78,92,113,112,124,86,125,162,102,156,158,222,207,160,157,101,112,64,78,72,101,130
_AF,_AS,261,256,265,169,368,408,486,549,514,571,562,483,528,444,299,60,66,111,201,204,534,450,320,336,285,405,452,384,659,623,920,812,541,606,318,228,200,318,328,403,431
_AF,BE-BRU,20,21,25,27,29,21,20,28,42,30,36,52,70,106,77,9,13,19,40,39,35,40,37,56,47,61,41,44,44,74,163,176,104,57,47,29,19,52,74,72,57
_AF,IT-25,80,52,46,15,6,24,26,43,25,25,37,58,71,89,30,5,10,17,50,51,75,47,44,53,51,52,32,34,46,101,197,196,130,94,87,84,71,60,59,48,57
_AF,ES-M,137,91,86,80,88,44,60,100,78,68,61,65,144,159,81,4,10,14,45,33,35,51,46,57,55,80,93,59,55,94,143,154,107,102,119,83,71,89,104,106,108
_AF,FR-IDF,672,507,604,498,481,194,236,680,479,411,249,471,722,699,463,55,103,170,233,284,256,257,200,276,288,331,342,249,267,415,696,797,519,500,554,406,240,424,469,533,555
_AF,DE-HE,71,68,62,54,139,121,126,164,152,147,129,122,109,125,118,34,20,24,29,16,58,49,39,57,50,45,38,59,90,97,173,148,100,115,90,92,47,72,84,122,110
_AF,PT-11,46,43,49,31,38,31,29,44,35,24,20,46,59,93,59,1,1,2,5,6,5,14,15,16,24,10,12,15,20,47,84,82,42,65,110,40,50,67,58,41,70
_AF,FR-PAC,123,76,113,70,90,10,42,104,82,32,12,59,84,87,60,3,3,5,15,11,10,12,9,13,21,14,21,14,19,34,72,77,27,35,51,22,26,48,28,55,56
_AF,IT-62,98,68,75,69,83,28,55,105,80,85,47,76,112,101,48,2,1,5,18,15,35,19,9,20,18,17,12,17,17,47,82,87,53,38,42,23,13,38,47,36,49
_AF,GB-ENG,113,137,143,105,214,187,204,226,196,201,224,197,168,152,118,27,21,34,47,64,87,120,89,95,26,76,88,47,85,107,147,123,110,113,96,131,119,141,140,163,183
_AF,_AF,264,198,187,139,196,1637,2011,2010,2269,2187,2208,1443,665,448,419,15,20,32,153,281,466,584,567,1313,865,979,1414,1814,1997,1854,1540,1552,1847,2462,1927,2245,1825,1351,1458,1844,1972
_AF,ES-V,40,33,55,51,41,8,9,55,35,21,3,8,33,15,10,0,0,0,0,1,1,0,0,1,1,0,1,3,0,0,2,0,0,1,2,0,0,3,5,4,1
_AF,FR-ARA,91,56,75,70,59,20,15,93,50,42,18,59,92,89,63,2,1,10,44,9,30,29,16,0,9,0,0,1,4,0,1,1,3,20,44,14,12,17,35,64,54
_AF,FR-OCC,47,32,34,26,21,7,10,42,21,14,13,25,46,49,26,1,1,0,7,12,10,17,11,27,20,10,13,3,12,36,54,50,31,32,28,5,3,22,27,31,34
_AF,DE-BY,8,9,6,3,32,27,37,37,36,39,52,41,35,36,32,3,2,3,0,2,10,1,1,10,12,3,1,3,7,11,25,24,9,9,19,26,23,20,24,24,1
_AF,CH-ZH,9,11,7,5,32,26,31,30,31,48,47,33,28,26,24,5,7,7,14,16,19,17,15,17,19,17,14,21,27,28,34,35,27,39,44,52,31,34,27,36,28
_AF,ES-AN,14,8,3,4,7,1,2,9,5,7,15,18,33,33,15,0,1,5,7,11,11,18,18,32,37,32,39,5,6,35,94,58,25,23,36,13,16,17,12,13,23
_AF,CH-GE,30,19,23,17,17,9,16,37,25,19,17,30,41,55,23,0,0,2,2,2,8,10,12,21,24,16,7,9,9,31,75,63,36,33,39,6,9,29,31,26,31
_AF,IT-34,16,1,0,0,0,3,3,2,3,1,4,8,12,16,6,0,0,1,7,13,12,9,6,10,9,8,1,0,0,8,28,28,21,12,11,0,1,11,18,11,10
_AF,FR-NAQ,30,23,13,12,9,5,4,18,16,10,6,16,37,31,22,0,0,2,6,8,6,12,15,19,15,14,13,2,0,20,49,54,29,34,18,2,2,21,28,31,37
_AF,DK-84,8,6,4,2,1,0,0,0,0,0,1,4,8,4,4,0,0,0,0,0,2,0,0,0,1,0,0,0,3,5,10,3,0,0,1,0,0,0,1,0,0
_AF,RU-MOS,10,9,7,4,3,0,0,4,4,5,7,8,12,15,9,1,1,4,8,5,6,11,1,2,5,7,9,11,24,26,41,27,13,12,12,7,1,8,6,4,4
_AF,_NA,32,20,38,35,93,91,109,122,96,88,94,91,78,74,66,13,1,6,33,30,37,28,32,56,55,52,52,68,96,162,244,251,106,103,131,114,98,107,104,96,157
_AF,ES-CT,60,92,118,100,93,27,25,97,78,62,28,77,94,117,67,0,0,4,14,22,19,12,10,14,13,48,76,38,54,82,139,153,117,113,129,109,47,98,109,80,74
_AF,_SA,12,31,27,14,65,65,70,63,46,64,61,49,25,26,27,12,11,21,21,1,0,1,0,1,0,4,7,9,12,7,13,10,7,1,9,4,2,0,1,2,1
